Dušek Jaroslav;[2002];['Demokratická regionální strana'];['1120'];['1.85'];['34'];['31'];['41'];['NO'];0
Dušek Ladislav;[2002, 2010, 2014];['NEZÁVISLÍ', 'Liberec občanům', 'Starostové pro Liberecký kraj'];['2546', '5125', '3693'];['5.01', '3.13', '2.13'];['4', '7', '39'];['3', '6', '31'];['59', '67', '71'];['NO', 'YES', 'NO'];0
Dušek Petr;[2002, 2006, 2010, 2014];['Česká str.sociálně demokrat.', 'Česká str.sociálně demokrat.', 'Česká str.sociálně demokrat.', 'Česká str.sociálně demokrat.'];['3999', '3913', '5139', '2515'];['2.57', '2.42', '2.50', '2.45'];['19', '32', '27', '29'];['12', '26', '20', '25'];['32', '36', '40', '44'];['NO', 'NO', 'NO', 'NO'];0
Dušek Robert;[2002];['Česká str.sociálně demokrat.'];['4270'];['2.74'];['6'];['1'];['35'];['NO'];0
Dvořáček Jiří;[2002];['Křesť.demokr.unie-Čs.str.lid.'];['744'];['2.09'];['30'];['\xa0'];['32'];['NO'];0
Dvořáková Michaela;[2002];['Hn.za harm.rozvoj obcí a měst'];['921'];['4.75'];['5'];['\xa0'];['42'];['NO'];1
Dzan Ladislav;[2002];['Unie pro sport a zdraví'];['2457'];['3.46'];['9'];['2'];['37'];['NO'];1
Ebert Vladimír;[2002, 2006, 2010, 2014, 2018];['Komunistická str.Čech a Moravy', 'Komunistická str.Čech a Moravy', 'Komunistická str.Čech a Moravy', 'Komunistická str.Čech a Moravy', 'Komunistická str.Čech a Moravy'];['2626', '2519', '1972', '1401', '859'];['2.47', '2.54', '2.34', '2.40', '2.38'];['28', '18', '35', '34', '34'];['23', '15', '32', '32', '-'];['56', '60', '64', '68', '72'];['NO', 'NO', 'NO', 'NO', 'NO'];0
Edutová Eva;[2002];['Unie svobody-Demokratická unie'];['1293'];['2.39'];['16'];['15'];['60'];['NO'];0
Engerer Jiří;[2002];['Hn.za harm.rozvoj obcí a měst'];['346'];['1.78'];['33'];['\xa0'];['42'];['NO'];0
